Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.7914969,-0.15674408,295.42424242424244,1198.1920361950008,-12.683029993013902,-12.683029993013902,1.0
20000,1.7915071,0.024195021,299.0,1196.6621053765286,-13.605881997548481,-13.605881997548481,1.0
30000,1.7853653,-0.24171525,299.0,1196.6621053765289,-11.296060283753006,-11.296060283753006,1.0
40000,1.7808985,-0.34651038,299.0,1196.6621053765289,-11.558484620668672,-11.558484620668672,1.0
50000,1.7772524,-0.43575165,299.0,1194.6488519363884,-9.54735267907381,-9.54735267907381,1.0
60000,1.772775,-0.5615382,299.0,1192.1775417946099,-8.987812408886384,-8.987812408886384,1.0
70000,1.7567643,-0.54335356,293.3235294117647,1188.9749677637856,-9.614705793340416,-9.614705793340416,1.0
80000,1.7466074,-0.6804763,296.55882352941177,1189.3839941632016,-11.622352929457145,-11.622352929457145,1.0
90000,1.7407742,-0.79678077,294.8235294117647,1189.3839941632016,-9.96848483970671,-9.96848483970671,1.0
100000,1.739964,-0.87647796,278.24285714285713,1189.9929185364174,-9.163888978513164,-9.163888978513164,1.0
110000,1.7117827,-0.99691343,287.5,1189.822653222468,-8.604411790366559,-8.604411790366559,1.0
120000,1.6891316,-1.0227556,285.95588235294116,1189.822653222468,-8.461714428716473,-8.461714428716473,1.0
130000,1.6998055,-1.1205611,286.5571428571429,1186.508830327278,-6.126857122778892,-6.126857122778892,1.0
140000,1.6471432,-1.2306142,283.4714285714286,1184.1343199794003,-5.574000074288675,-5.574000074288675,1.0
150000,1.6778196,-1.2746311,277.59722222222223,1181.7321028093988,-6.5249999732606945,-6.5249999732606945,1.0
160000,1.5901241,-1.3370233,258.0657894736842,1178.4335403709363,-5.359736922000976,-5.359736922000976,1.0
170000,1.5699584,-1.3717861,277.6388888888889,1178.4335403709365,-3.3063889459913804,-3.3063889459913804,1.0
180000,1.6054255,-1.4082624,250.6,1177.4158472913214,-4.16025646069111,-4.16025646069111,1.0
190000,1.5204418,-1.3892227,281.2,1177.1614815420328,-3.678055661213067,-3.678055661213067,1.0
200000,1.5732068,-1.3956475,209.70833333333334,1172.0154102007384,-3.3210638689788734,-3.3210638689788734,1.0
210000,1.4544116,-1.3704101,264.2972972972973,1168.2809183670813,-3.4226317294432143,-3.4226317294432143,1.0
220000,1.4700124,-1.3433675,240.6829268292683,1166.1319899521704,-2.724390349146433,-2.724390349146433,1.0
230000,1.4013305,-1.3162677,258.1923076923077,1163.544956472094,-2.9417950393966374,-2.9417950393966374,1.0
240000,1.371633,-1.2812293,229.37209302325581,1163.5449564720946,-1.0895350476683572,-1.0895350476683572,1.0
250000,1.4447806,-1.2180244,187.24528301886792,1159.5532626460829,-1.6250001214858558,-1.6250001214858558,1.0
260000,1.3431319,-1.111784,148.37692307692308,1154.0417531650116,-0.7518462414638354,-0.7518462414638354,1.0
270000,1.3185761,-1.0668794,79.09126984126983,1148.2720243547117,-0.9601600775718689,-0.9601600775718689,1.0
280000,1.2868253,-0.96488327,52.06878306878307,1148.2607908993828,-0.4419048024863793,-0.4419048024863793,1.0
290000,1.3470372,-0.9217236,105.15425531914893,1147.5254720442438,-0.16851071886559751,-0.16851071886559751,1.0
300000,1.2412606,-0.77487546,33.7680412371134,1148.1532742940212,0.36714774869459194,0.36714774869459194,1.0
310000,1.2646315,-0.75704396,39.27459016393443,1158.3265830858165,0.30405735798546524,0.30405735798546524,1.0
320000,1.2652369,-0.56333405,32.44276094276094,1171.4067226921024,0.19434341878602,0.19434341878602,1.0
330000,1.2646656,-0.54429394,34.329181494661924,1171.4732278812808,0.014021333479372207,0.014021333479372207,1.0
340000,1.2681779,-0.3739751,28.764264264264263,1171.473227881281,-0.08552554216202315,-0.08552554216202315,1.0
350000,1.2664709,-0.37711227,30.29245283018868,1184.4158035799917,0.25515721625876875,0.25515721625876875,1.0
360000,1.2649873,-0.21348232,29.244744744744743,1202.958221196957,-0.11174175601911258,-0.11174175601911258,1.0
370000,1.2771598,-0.22296335,28.552785923753667,1203.1248484569496,-0.11656893295976074,-0.11656893295976074,1.0
380000,1.2717198,-0.057796497,31.60128617363344,1245.309188074525,0.694565896148467,0.694565896148467,1.0
390000,1.2798135,-0.070746884,33.50856164383562,1278.4324118408915,0.04955477724234535,0.04955477724234535,1.0
400000,1.2733412,0.062640294,31.72977346278317,1293.5590828380384,0.09631065428739227,0.09631065428739227,1.0
410000,1.215253,0.037011854,38.20669291338583,1311.5194640098923,-0.14992128136589772,-0.14992128136589772,1.0
420000,1.2069429,-0.02888867,37.59496124031008,1311.5194640098923,0.04790695739346881,0.04790695739346881,1.0
430000,1.226357,0.04359445,28.473372781065088,1344.3411446929226,0.7690236527450691,0.7690236527450691,1.0
440000,1.1452583,0.19721587,41.394067796610166,1376.0632432456352,0.31995760485277336,0.31995760485277336,1.0
450000,1.1250482,0.22338474,29.64877300613497,1406.7805876392167,0.7928834136666879,0.7928834136666879,1.0
460000,1.0075107,0.19782984,52.31382978723404,1435.4927818763413,0.16074466689469966,0.16074466689469966,1.0
470000,0.91022944,0.2706449,62.484177215189874,1435.175070013611,-0.41405065980138656,-0.41405065980138656,1.0
