Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.39429933,-70.987686,4999.0,-1754.0,-1754.0,1.0
20000,0.3931381,-71.15361,4999.0,-1703.0,-1703.0,1.0
30000,0.06085641,-39.990395,4999.0,-908.5,-908.5,1.0
40000,0.039660506,-38.01426,4999.0,-3.0,-3.0,1.0
50000,0.08115344,-34.651447,4999.0,40.5,40.5,1.0
60000,0.083823465,-34.167625,4999.0,-14.0,-14.0,1.0
70000,0.115946956,-32.37494,4999.0,-30.5,-30.5,1.0
80000,0.12014085,-31.666967,4999.0,-2.0,-2.0,1.0
90000,0.17591885,-29.527782,4999.0,-4.5,-4.5,1.0
100000,0.20744075,-29.038828,4999.0,-29.0,-29.0,1.0
110000,0.2768232,-22.509287,4999.0,3.5,3.5,1.0
120000,0.28894806,-20.113169,4999.0,48.5,48.5,1.0
130000,0.2238279,-20.049623,4999.0,113.0,113.0,1.0
140000,0.18307696,-19.404102,4999.0,49.5,49.5,1.0
150000,0.15960781,-19.889881,4999.0,18.5,18.5,1.0
160000,0.15675761,-19.93838,4999.0,10.0,10.0,1.0
170000,0.21222444,-17.644272,4999.0,-25.0,-25.0,1.0
180000,0.26026437,-17.18453,4999.0,1.0,1.0,1.0
190000,0.24636856,-15.044925,4999.0,6.0,6.0,1.0
200000,0.23963954,-14.030713,4999.0,11.5,11.5,1.0
210000,0.25790575,-14.041735,4999.0,43.5,43.5,1.0
220000,0.28084508,-13.486041,4999.0,14.0,14.0,1.0
230000,0.27944514,-12.724707,4999.0,22.5,22.5,1.0
240000,0.23468223,-12.271765,4999.0,7.5,7.5,1.0
250000,0.20945452,-11.955658,4999.0,4.0,4.0,1.0
260000,0.18332776,-11.2843275,4999.0,-5.5,-5.5,1.0
270000,0.17776652,-11.526648,4999.0,35.0,35.0,1.0
280000,0.19173667,-10.715319,4999.0,5.0,5.0,1.0
290000,0.19300234,-10.253024,4999.0,6.5,6.5,1.0
300000,0.16517366,-8.97835,4999.0,22.5,22.5,1.0
310000,0.15303887,-9.112221,4999.0,-4.0,-4.0,1.0
320000,0.1571511,-8.761221,4999.0,-7.0,-7.0,1.0
330000,0.15286714,-8.802401,4999.0,7.0,7.0,1.0
340000,0.17133027,-8.412324,4999.0,32.0,32.0,1.0
350000,0.16806486,-8.506299,4999.0,-43.5,-43.5,1.0
360000,0.14524472,-8.068017,4999.0,-25.5,-25.5,1.0
370000,0.14658876,-8.176642,4999.0,6.5,6.5,1.0
380000,0.2750377,-7.929599,4999.0,20.5,20.5,1.0
390000,0.2829269,-7.86946,4999.0,48.0,48.0,1.0
400000,0.20818949,-7.306308,4999.0,-13.5,-13.5,1.0
410000,0.19966215,-7.3502264,4999.0,-20.5,-20.5,1.0
420000,0.20959333,-7.1461935,4999.0,-9.5,-9.5,1.0
430000,0.21248315,-7.0674133,4999.0,17.0,17.0,1.0
440000,0.18297742,-6.841192,4999.0,2.5,2.5,1.0
450000,0.17824437,-6.925786,4999.0,-5.5,-5.5,1.0
460000,0.22995825,-6.7129974,4999.0,5.0,5.0,1.0
470000,0.21737285,-6.7683425,4999.0,-4.5,-4.5,1.0
480000,0.12024105,-6.3959837,4999.0,0.0,0.0,1.0
490000,0.09574878,-6.2895956,4999.0,14.5,14.5,1.0
500000,0.10042478,-6.082064,4999.0,-10.0,-10.0,1.0
510000,0.10490492,-6.037347,4999.0,-37.0,-37.0,1.0
520000,0.08969616,-5.7244425,4999.0,16.5,16.5,1.0
530000,0.11405568,-5.594847,4999.0,-2.5,-2.5,1.0
540000,0.10843821,-5.4121523,4999.0,33.0,33.0,1.0
550000,0.10898137,-5.2909803,4999.0,-19.5,-19.5,1.0
560000,0.11368978,-5.216071,4999.0,-4.0,-4.0,1.0
570000,0.12305531,-5.1395907,4999.0,29.0,29.0,1.0
580000,0.11046455,-5.0001326,4999.0,5.5,5.5,1.0
590000,0.13346632,-4.8326874,4999.0,3.0,3.0,1.0
600000,0.119552754,-4.6875587,4999.0,-23.0,-23.0,1.0
610000,0.118369676,-4.466864,4999.0,7.5,7.5,1.0
620000,0.11002823,-4.458017,4999.0,19.0,19.0,1.0
630000,0.087350674,-4.445366,4999.0,28.5,28.5,1.0
640000,0.083934516,-4.4741907,4999.0,27.5,27.5,1.0
650000,0.082231164,-4.513073,4999.0,19.0,19.0,1.0
660000,0.08615089,-4.542857,4999.0,-32.0,-32.0,1.0
670000,0.08538374,-4.575476,4999.0,-17.5,-17.5,1.0
680000,0.085150495,-4.435716,4999.0,45.0,45.0,1.0
690000,0.07707754,-4.088051,4999.0,20.0,20.0,1.0
700000,0.077104434,-4.1647043,4999.0,-1.0,-1.0,1.0
710000,0.072077624,-4.3833175,4999.0,33.0,33.0,1.0
720000,0.07433437,-4.3969727,4999.0,6.5,6.5,1.0
730000,0.073662795,-4.533984,4999.0,20.5,20.5,1.0
740000,0.07399006,-4.559247,4999.0,-4.0,-4.0,1.0
750000,0.07586149,-4.6643133,4999.0,13.5,13.5,1.0
760000,0.07878242,-4.7012925,4999.0,35.5,35.5,1.0
770000,0.09554602,-5.0568275,4999.0,3.0,3.0,1.0
780000,0.092816725,-5.063166,4999.0,-0.5,-0.5,1.0
790000,0.105337046,-4.9842167,4999.0,8.0,8.0,1.0
800000,0.09652601,-4.9831963,4999.0,49.0,49.0,1.0
810000,0.07735257,-4.461089,4999.0,7.5,7.5,1.0
820000,0.08283496,-4.452045,4999.0,-9.0,-9.0,1.0
